,name,price,change,volume,relative_volume,market_cap,pe,eps_diluted,eps_diluted_growth,dividends_yield,sector
3963,"Precision BioSciences, Inc.",0.3091,-4.244114,1344736,1.55303082,35568298,,-0.8021,45.5575918,0,Health Technology
3964,Brookfield DTLA Inc.,0.12,-11.11111111,1000,0.0927618,,,,,,Finance
3965,D2L INC.,5.0812,-1.71760155,3400,0.94415595,272645612.3,,-0.23942061,78.69188515,0,Technology Services
3966,"DT Midstream, Inc.",54.89,0.91928663,414912,0.5242247,5318965820,14.4473982,3.7993,10.59587227,4.93715,Industrial Services
3967,Datametrex Ai Limit,0.046,3.48706412,80200,8.13882687,18642657.78,,-0.043378,-1409.882389,0,Health Technology
3968,DNO ASA,1,7.29613734,600,0.1691618,975000017.2,4.38745526,0.22792255,-20.21054859,9.25926,Energy Minerals
3969,DNO ASA,9.16,-13.58490566,5000,7.65345171,956281966.9,3.7631979,2.4341,-23.03727827,6.36733,Energy Minerals
3970,DIRECTA PLUS PLC,0.6,1.69491525,300,0.12821061,39634588.5,,,,0,Producer Manufacturing
3971,"DATATRAK International, Inc.",0.15,0,1826,0.47000077,191700,,,,0,Technology Services
3972,Detroit Legal News Co.,340,-5.55555556,41,2.5625,12836700.44,,,,1.81113,Consumer Services
3973,DAIMLER TRUCK HLDG AG,16.54,-0.42143287,9290,0.49740589,27315791320,8.27041352,1.9999,101.5012595,2.96588,Consumer Durables
3974,Ether Cap Corp.,1.1661,-6.71946244,1436,0.71272583,39884817.96,0.77698387,1.50080336,,0,Technology Services
3975,Datasea Inc.,0.2491,1.67346939,501632,1.36530639,8166528,,-0.3799,-39.72048547,0,Electronic Technology
3976,Data Storage Corporation,3.67,0.82417582,39602,0.78528498,25083082,,-0.4549,-259.6047431,0,Technology Services
3977,Datatec Ltd. S.A.,1.85,2.20994475,100,0.02285453,419066939.7,5.75253317,0.32159745,1995.044859,37.2423,Technology Services
3978,Datatec Ltd. S.A.,3.85,-0.64516129,2589,7.34676504,460547771,5.38687561,0.7147,2607.19697,30.4813,Technology Services
3979,Dish TV India,0.13,-7.14285714,8073,0.30070847,416292454.2,,-0.111,17.65578635,0,Communications
3980,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,21.05,-1.35895033,15401,0.35894914,19796980242,3.27886727,6.4199,63.78967242,3.96792,Utilities
3981,D2 LITHIUM CORP.,0.075,-10.54389313,2000,0.2760715,2717385,,,,0,Non-Energy Minerals
3982,Dotz Nano Ltd.,0.12,-7.69230769,218666,9.74212979,60167117.65,,-0.0135198,30.4696,0,Process Industries
3983,DASSAULT AVIATION,197,0.38216561,110,1.19695321,15856970471,18.52689905,10.63318796,54.54144422,1.59915,Electronic Technology
3984,DUET Acquisition Corp.,10.71,0.09345794,297524,7.31515061,81291727.72,8925,0.0012,,0,Finance
3985,DUET Acquisition Corp.,10.78,0.55970149,450,0.26251313,81443533,,,,0,Finance
3986,Dufry AG Basel Namen,3.375,-3.43347639,32272,0.29578656,5163254117,57.20338983,0.059,,0,Retail Trade
3987,Duke Energy Corporation (Holding Company),88.03,-2.0474018,3172508,0.80656465,67845387376,49.00083496,1.7965,-63.70927015,4.58934,Utilities
3988,"Duke Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.75% Series A Cumulative Redeemable Perpetual Preferred Stock",23.58,-0.54829186,75295,0.44946711,67845387376,13.12552185,1.7965,-63.70927015,4.58934,Utilities
3989,Duke Energy Corporation 5.625% Junior Subordinated Debentures due 2078,22.9,-1.07991361,31806,0.68412211,67845387376,12.74700807,1.7965,-63.70927015,4.58934,Utilities
3990,Dune Acquisition Corporation,10.12,-0.19723866,33144,17.91955017,99247386,,-0.6219,-199.3926802,0,Finance
3991,Dune Acquisition Corporation,10.14,0.09871668,110,0.2679659,99247386,,,,0,Finance
3992,Fangdd Network Group Ltd.,0.72,-0.51813472,192820,5.92889143,38431957,,,,0,Technology Services
3993,"Duolingo, Inc.",175.12,1.22543353,468241,0.79232577,7274103628,,-0.7932,58.87598507,0,Technology Services
3994,"Duos Technologies Group, Inc.",4.5,-3.01724138,20085,2.77260115,32618048,,-1.148,20.59210071,0,Technology Services
3995,Durr AG,5.44,2.83553875,500,0.57630244,1775209275,12.73110227,0.4273,45.4390742,1.9083,Producer Manufacturing
3996,"Digital Utilities Ventures, Inc.",0.008,0,152502,0.32988612,27629433,,-0.0001,0,0,Finance
3997,Duo World Inc.,0.00695,-7.94701987,5000,0.09884001,614212,1.3627451,0.0051,,0,Technology Services
3998,Peruvian Metals Corp.,0.05,0,500,0.0405042,4987126.364,,-0.00324392,9.17871907,0,Non-Energy Minerals
3999,"DoubleVerify Holdings, Inc.",27.8,-2.25035162,624049,0.62873192,4653808783,89.27424534,0.3114,-0.09624639,0,Technology Services
4000,DaVita Inc.,73.79,-2.767163,4140693,2.55953967,6737027309,15.10047886,4.8866,-39.41355155,0,Health Services
4001,Dynavax Technologies Corporation,14.26,-1.79063361,1515604,0.96106395,1836650430,19.78906467,0.7206,-55.37527867,0,Health Technology
4002,DAVIDE CAMPARI MILANO N V,12.016,-1.58886159,275,0.01637158,13331606907,36.87020558,0.3259,13.71249128,0.362216,Consumer Non-Durables
4003,DAVIDE CAMPARI MILANO N V,11.864531,-1.53916183,108506,30.41172679,13357355931,35.2022851,0.33703866,18.46803531,0.53357,Consumer Non-Durables
4004,"Golden Developing Solutions, Inc.",0.0002,-33.33333333,9095,0.00056801,282698,,-0.0029,-190,0,Non-Energy Minerals
4005,Devon Energy Corporation,46.69,-0.12834225,8040666,0.81656513,29914282690,6.39133768,7.3052,-6.97093956,7.38916,Energy Minerals
4006,Danavation Technologies Corp.,0.025,-50,8071,0.40455126,2979373.077,,-0.03534062,20.37501045,0,Electronic Technology
4007,Frontier Services Group Ltd,0.021,-30,130000,14.47677591,50471105.75,4.79928587,0.00437565,,0,Transportation
4008,ENERGY PLUG TECHNOLOGIES CORP.,0.0825,16.1971831,400,0.02073742,4308791.438,,-0.00879886,44.11378383,0,Technology Services
4009,Development Technologies Corp.,8.85,-11.5,200,0.73313783,,,,,,Health Technology
4010,Digital World Acquisition Corp.,15.545,-1.98612863,196017,1.37945328,578440113,,,,0,Finance
4011,Digital World Acquisition Corp.,19.62,10.2247191,561,0.99327195,578440113,,,,0,Finance
4012,Daiwa House Industry Co. Ltd.,27.305,-0.27392257,28025,0.96967285,17877448660,7.37235737,3.7037,25.66843105,2.45623,Consumer Durables
4013,DriveItAway Holdings Inc.,0.0004,0,5000,0.47205884,42620.8,,-0.01,92.0508744,0,Consumer Services
4014,"Dinewise, Inc.",0.0599,15.19230769,1000,0.17016063,9298393.094,46.07692308,0.0013,,0,Retail Trade
4015,DOWLAIS GROUP PLC,1.22,-10.94890511,666,0.04202609,1699793823,,,,0,Producer Manufacturing
4016,Dawson Geophysical Company,2.335,2.86343612,1157,0.10209034,58376319,,-0.6297,40.10842686,0,Technology Services
4017,"Dynex Capital, Inc.",11.68,-2.90939318,845840,0.87122632,633106462,,-0.0701,-101.5665155,13.3562,Finance
4018,"Dynex Capital, Inc. 6.900% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",22.47,0.03071704,8652,0.57351567,633106462,,-0.0701,-101.5665155,13.3562,Finance
4019,BELLROCK BRANDS INC,1.00E-06,0,2000,0.43928046,,,,,,Health Technology
4020,DXC Technology Company,22.2,-1.06951872,2613722,0.35593614,4554870997,,-2.8388,-228.4990042,0,Technology Services
4021,"DexCom, Inc.",75.49,-4.40673674,9338951,1.62113975,29280441025,88.07607047,0.8571,76.940545,0,Health Technology
4022,Dunxin Financial Holdings Limited American Depositary Shares,0.3958,14.85813946,3094927,10.04474969,941244,,-3.4769,-168.1237509,0,Finance
4023,DXI CAPITAL CORP,0.0002,-99.6,234,0.16809137,1226467.2,,-0.0071668,42.31264569,0,Energy Minerals
4024,"Destination XL Group, Inc.",4.15,-3.93518519,350192,0.57542504,250617110,7.32568402,0.5665,-59.3206951,0,Retail Trade
4025,"DXP Enterprises, Inc.",33.65,-3.38788401,92317,1.96761598,562867402,10.91009305,3.0843,71.96141838,0,Distribution Services
4026,Daxor Corporation,9.02,1.12107623,2268,1.06289249,42709583,8.70572339,1.0361,1321.262003,0,Health Technology
4027,"The Dixie Group, Inc.",0.5903,-9.19858483,3951,0.03012995,8521178,,-2.0504,-516.6616541,0,Consumer Durables
4028,"Dycom Industries, Inc.",86.08,-0.2433654,502812,1.85273742,2525020009,13.46220012,6.3942,107.7927987,0,Industrial Services
4029,"Dyadic International, Inc.",1.88,-2.08333333,10267,0.43928069,54164793,,-0.2468,40.51578694,0,Health Services
4030,Dynacert Inc,0.12266,-0.6399352,620,0.06114881,46673666.6,,-0.01984072,28.4244768,0,Producer Manufacturing
4031,Deep Yellow Ltd.,0.809,-2.53012048,54782,0.25345117,613535824.9,,-0.0095238,27.51027657,0,Non-Energy Minerals
4032,"Dyne Therapeutics, Inc.",7.805,-6.86157518,572154,1.17263127,476264874,,-3.4082,3.61697916,0,Health Technology
4033,DYE & DURHAM LTD.,9.14,-4.76947597,3493,0.3951581,502700005.8,,-2.25233664,-1013.527363,0.595711,Technology Services
4034,"DynaResource, Inc.",2.54,-2.30769231,100,0.00812625,56506504.83,71.34831461,0.0356,-92.79352227,0,Non-Energy Minerals
4035,Dynatronics Corporation,0.570101,1.76776782,41453,3.52956703,2428653,,-1.1531,12.27175898,0,Health Technology
4036,DIASYS CORP,0.0001,233.3333333,1000,0.14991155,2572,,,,,Health Technology
4037,DZS Inc.,1.67,-4.57142857,89896,0.53701282,52036826,,-1.7617,-230.7735637,0,Electronic Technology
4038,ENI S.p.A.,32.17,0.09334163,120855,0.41823752,53845998014,5.92296645,5.4314,-30.13018421,4.1658,Energy Minerals
4039,Electronic Arts Inc.,131.57,1.44961061,2451959,1.30005701,35643847987,40.74888503,3.2288,2.24840079,0.577639,Technology Services
4040,Earthworks Industries Inc.,0.108,0,5000,0.81613998,10671569.64,,-0.01590624,-75.04256047,0,Industrial Services
4041,Edify Acquisition Corp.,10.85,-0.09208103,110,0.02632587,85611158,230.3609342,0.0471,-88.23676324,0,Finance
4042,EACO Corp.,34,-2.85714286,150,0.37037037,165294057,7.96439447,4.269,12.56130359,0,Distribution Services
4043,Allspring Income Opportunities Fund,5.93,-1.16666667,230154,0.76429529,357259000,,-0.1699,-107.4674754,11.1629,Miscellaneous
4044,Airbus SE,132.938,-1.2685115,1266,1.15185151,1.0497E+11,24.81345424,5.35749673,3.5469962,1.4313,Electronic Technology
4045,Airbus SE,32.92,-1.52557583,119534,0.62347696,1.04571E+11,25.70870754,1.2805,-7.88432487,1.11762,Electronic Technology
4046,GrafTech International Ltd.,3.49,-4.12087912,1555250,1.35026728,896259545,6.97302697,0.5005,-73.69527514,1.14613,Producer Manufacturing
4047,EAST SIDE GAMES GROUP INC.,0.344,-4.45771421,2500,0.44722719,28048519.08,,-0.0765716,-151.8480621,0,Technology Services
4048,"Entergy Arkansas, LLC First Mortgage Bonds, 4.875% Series Due September 1, 2066",20.3999,-0.92326372,16896,0.48574755,,,,,,Utilities
4049,EASTON PHARMACEUTICALS INC,1.00E-06,0,3500,0.05216974,932.729,,,,0,Health Technology
4050,EUROAPI SA,5.8,-46.5437788,306,0.45219447,550493977.5,16.51394683,0.35121828,,0,Health Technology
4051,"Eargo, Inc.",1.915,-3.28282828,40058,2.19474244,39735442,,-32.3899,66.1515712,0,Health Technology
4052,"Entertainment Arts Research, Inc.",0.003,-14.28571429,10122,0.00800059,522400,,-0.0055,6.77966102,0,Consumer Durables
4053,Ellington Residential Mortgage REIT,6.03,-1.30932897,62093,0.63711201,91112318,62.48704663,0.0965,,15.9204,Finance
4054,"Eastside Distilling, Inc.",1.87,-5.55555556,9487,0.04556622,2323961,,-19.9478,-35.58494875,0,Commercial Services
4055,"Brinker International, Inc.",30.06,-2.62390671,980282,0.80503214,1328105024,13.32742186,2.2555,-13.08285164,0,Consumer Services
4056,EAT & BEYOND GLOBAL HLDGS INC.,0.05,0.80645161,382,0.03051289,1161384.737,,,,0,Finance
4057,EASTERN ASTERIA INC,1.00E-06,0,675000,0.17358203,3509,,,,,Miscellaneous
4058,EAU TECHNOLOGIES INC,0.0001,0,1468,0.13519612,2858,,,,,Producer Manufacturing
4059,ENERGY & WTR DEV CORP.,0.03,-6.25,252872,1.10099444,6680488,,-0.0126,39.71291866,0,Commercial Services
4060,"Eventbrite, Inc.",8.8,-5.57939914,533216,0.87151305,881646794,,-0.3306,55.63011676,0,Technology Services
4061,eBay Inc.,42.63,-0.97560976,5200489,1.13996835,22685868341,17.21798134,2.4759,,2.27539,Retail Trade
4062,Enbridge Inc.,19.27,-1.93384224,4579,1.31550218,68694061604,13.65961404,1.410728,-24.82111793,7.90685,Industrial Services
4063,Enbridge Inc.,17.64882,3.08890187,25896,4.58969905,68694061604,12.51043433,1.410728,-24.82111793,7.90685,Industrial Services
4064,"Eastern Bankshares, Inc.",12.08,-2.02757502,494501,0.66644223,2130630262,,-0.3037,-129.9506903,3.31126,Finance
4065,Ebara Corp.,23.35,2.3225241,6196,0.77632436,4369621630,11.26169577,2.0734,0.24173274,2.18895,Producer Manufacturing
4066,"Ennis, Inc.",21.76,-0.59387848,65599,0.78799112,563033448,12.27783107,1.7723,20.59744148,4.59559,Commercial Services
4067,Enbridge Inc.,21.38,0.30024395,4594,0.26849482,68694061604,15.15529571,1.410728,-24.82111793,7.90685,Industrial Services
4068,"Ebix, Inc.",6.65,-5,1162275,0.45812676,205494577,6.11831815,1.0869,-51.82180851,4.51128,Technology Services
4069,Erste Group Bank AG,17.34,-1.58910329,12434,0.07855282,14123689025,5.7711509,3.0046,8.83865826,3.96825,Finance
4070,Erste Group Bank AG,34.42,-3.47728547,2050,0.56317134,13955339144,5.53274387,6.22114466,20.72576804,5.74365,Finance
4071,"Eagle Bancorp Montana, Inc.",11.66,0.34423408,4391,0.82531389,93141618,7.58966348,1.5363,-1.95290063,4.73842,Finance
4072,Ebang International Holdings Inc.,6.9,0.43668122,7751,0.86383292,45153178,,-6.6527,,0,Electronic Technology
4073,Centrais Electricas Brasileiras S A,7.01,-2.36768802,463068,0.43208689,16847598139,47.20538721,0.1485,-78.32749562,0.628388,Utilities
4074,Centrais Electricas Brasileiras S.A.- Eletrobr?!s,7.88,-3.31288344,47476,1.85940492,16847598139,53.06397306,0.1485,-78.32749562,3.52562,Utilities
4075,Enbridge Inc.,10.5769,-7.05711775,200,0.42426814,68694061604,7.49747648,1.410728,-24.82111793,7.90685,Industrial Services
4076,"Emergent Biosolutions, Inc.",2.63,-12.04013378,1724973,1.19852531,136252484,,-12.0798,-815.1195832,0,Health Technology
4077,Enterprise Bancorp Inc,27.51,-1.57423971,9506,0.89028331,336799896,7.49754715,3.6692,13.5166909,3.25336,Finance
4078,EVERYTHING BLOCKCHAIN INC.,1.11,5.71428571,528,0.0664293,15177367,,-1.0345,-354.6774988,0,Technology Services
4079,Ecopetrol S.A.,11.9,0.33726813,2554334,0.94219424,24438119026,4.28519986,2.777,-13.92350133,19.6207,Energy Minerals
4080,Eco Atlantic Oil & Gas Ltd,0.14,5.66037736,1005,0.06146939,51428816,,-0.0976948,-164.8824335,0,Energy Minerals
4081,BlackRock ESG Capital Allocation Term Trust,14.81,-0.60402685,348557,1.11880936,,,,,,Miscellaneous
4082,"ECB Bancorp, Inc.",10.11,-5.42563143,22510,2.78237868,92761800,39.20124079,0.2579,,0,Finance
4083,Eagle Point Credit Company Inc.,9.88,-0.50352467,475491,0.87971082,599345000,11.97720936,0.8249,,17.0041,Miscellaneous
4084,Eagle Point Credit Company Inc. 6.75% Series D Preferred Stock,20.16,0.85042521,366,0.32272286,,,,,,Miscellaneous
4085,Eagle Point Credit Company Inc. 6.50% Series C Term Preferred Stock due 2031,20.83,-0.52531041,6055,1.86946185,,,,,,Miscellaneous
4086,EAGLE FORD OIL & GAS CORP,0.0001,0,5599,1.21232461,4213,,,,,Energy Minerals
4087,ECOLOCLEAN INDUSTRIES INC,1.00E-06,0,3213666,3.84198408,58,,,,,Producer Manufacturing
4088,Eagle Point Credit Company Inc. 5.375% Notes due 2029,21.28,0.18832392,708,0.22926719,,,,,,Miscellaneous
4089,Eagle Point Credit Company Inc. 6.75% Notes due 2031,22.05,-0.66135659,4125,1.19752656,,,,,,Miscellaneous
4090,Eagle Point Credit Company Inc. 6.6875% Notes due 2028,23.2199,0.82457664,1521,0.53139084,,,,,,Miscellaneous
4091,"Ecrid, Inc.",0.0003,0,5008,1.53079627,86667,,,,0,Electronic Technology
4092,"Eco Depot, Inc.",0.41,0,14208,0.27827449,124966.7049,,-0.0724,-187.3015873,0,Finance
4093,"Ecosciences, Inc.",1.00E-06,-99,3136154,1.42829602,25062,,,,,Process Industries
4094,Ellsworth Growth and Income Fund Ltd.,7.8,0.1283697,16742,0.46418006,108575000,,-2.0028,-803.7906137,6.66667,Miscellaneous
4095,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),21.7701,0.18453751,1968,0.66231406,,,-2.0028,-803.7906137,6.66667,Miscellaneous
4096,ECGI Holdings Inc.,0.012,9.09090909,16500,0.15310156,206718,,-0.0547,29.51030928,0,Finance
4097,ENVIT CAPITAL GROUP INC,1.00E-06,0,100,0.10238558,,,,,,Finance
4098,Bellatora Inc.,0.045,-0.22172949,25500,6.49499503,137070,,,,,Health Services
4099,Eco-Growth Strategies Inc.,0.4925,4.78723404,15086,0.71904179,14329582,,-0.2523,-555.3246753,0,Health Technology
4100,"Encision, Inc.",0.46,8.04462713,766,0.23360781,5413990.1,,-0.062,-473.4939759,0,Health Technology
4101,Ecolab Inc.,165.5,-2.50368189,839225,0.95584725,47173111282,40.31275881,4.1054,7.07318345,1.28097,Process Industries
4102,Eclipse Bancorp Inc.,6,-4,600,0.96339114,,,,,,Finance
4103,ECN Capital Corp.,1.76,-1.12359551,21913,0.80406122,432572818.5,,-0.2183988,-105.9024908,1.68067,Finance
4104,ECN Capital Corp.,12.407,-0.21152872,6800,,427041588.5,,-0.2183988,-105.9024908,1.68067,Finance
4105,"electroCore, Inc.",5.31,1.33587786,32082,0.91613648,31853485,,-4.6402,-9.77525432,0,Health Technology
4106,Elcora Advanced Materials Corp.,0.026,-1.51515152,46004,4.45498915,4377802.743,,-0.00663872,-27.61004692,0,Miscellaneous
4107,"Eco Innovation Group, Inc.",0.0001,2.04081633,13970000,0.42724398,109628,0.33333333,0.0003,,0,Consumer Services
4108,Encore Capital Group Inc,48.86,-3.07478675,60932,0.43800206,1147481431,,-0.0603,-100.4344161,0,Finance
4109,"EcoPlus, Inc.",0.0155,0,27500,0.25544042,62688205.1,,,,,Industrial Services
4110,EL CAPITAN PRECIOUS METALS INC,0.0035,0,50200,0.16306209,1532160,,,,,Non-Energy Minerals
4111,ECORA RESOURCES PLC,1.19,0,8883,0.44404565,306319615.8,,-0.02855925,-54.27898666,7.11133,Non-Energy Minerals
4112,"Cartier Resources, Inc.",0.055,-1.78571429,54150,1.2177789,17315102.36,,-0.00241408,25.9751243,0,Non-Energy Minerals
4113,ECC Capital Corp.,0.0251,-8.89292196,40321,1.77000979,2934720,,,,0,Finance
4114,Atex Resources Inc.,0.5331,6.62,20500,5.1705004,90557288.53,,-0.01267392,47.00491853,0,Non-Energy Minerals
4115,"eCare Solutions, Inc.",0.66,-9.66638152,20105,0.94828196,48014785,,-0.0225,57.70676692,0,Health Services
4116,ECA Marcellus Trust I,0.70525,-0.66901408,11460,0.57293411,12415926,2.03125,0.3472,-28.026534,74.1581,Miscellaneous
4117,Ecovyst Inc.,9.57,-2.94117647,620025,1.18907096,1116279951,17.94150731,0.5334,-20.83704363,0,Process Industries
4118,ECARX Holdings Inc.,3.97,3.38541667,572902,0.7961809,1339459727,,-0.5283,-238.5159937,0,Technology Services
4119,"Consolidated Edison, Inc.",87.37,-1.22102883,1905968,0.90930538,30135974480,12.56742567,6.9521,52.34808143,3.68548,Utilities
4120,EDAP TMS S.A.,6.64,-1.04321908,84156,1.185426,245088537,,,,0,Health Technology
4121,Edible Garden AG Incorporated,0.5601,-1.89174987,91154,0.45469964,3194143,,-17.9948,56.88763348,0,Process Industries
4122,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.",4.39,-1.34831461,154066,0.43586849,288625000,12.66589729,0.3466,-55.08617338,7.28929,Miscellaneous
4123,EDISON LITHIUM CORP.,0.1347,-20.76470588,2028,1.83148198,1960412.323,,-0.02406536,79.1571687,0,Non-Energy Minerals
4124,Elders Ltd,17.55,-17.68292683,2685,19.59854015,566209716.4,6.63842342,2.6437,-17.23177108,7.87962,Process Industries
4125,Virtus Stone Harbor Emerging Markets Income Fund,3.91,-2.97766749,187791,2.38221247,66870000,,,,18.4143,Miscellaneous
4126,Virtus Stone Harbor Emerging Markets Total Income Fund,4.62,-3.14465409,99084,1.88131915,46120200,,-0.4282,-117.8372074,18.1818,Miscellaneous
4127,"Editas Medicine, Inc.",6.84,-4.73537604,1282655,0.65165092,558367093,,-2.9696,-10.17288714,0,Health Technology
4128,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),12.3,2.58548791,27531,0.63848587,1317078457,,-2.586,26.68197669,0,Utilities
4129,EDENRED UNSPON ADR EA REPR 0.50 ORD EUR0.00,28.25,0.89285714,8980,0.66302422,14248701666,34.18855137,0.8263,29.79893183,1.3963,Finance
4130,EDP Energias de Portugal SA,39.35,-3.26941986,47719,0.62420615,16447158864,18.62545558,2.1127,21.60824268,3.90236,Utilities
4131,"Endeavor Group Holdings, Inc.",19.47,-3.94671929,2268884,0.87950185,13724679071,,-0.1402,-110.4947975,0.308166,Consumer Services
4132,EDP Renovaveis SA,15.2,-2.90641967,202,0.13272011,15564467587,31.33684132,0.48505208,-42.90205375,1.80826,Utilities
4133,EuroDry Ltd.,15.35,1.30675818,2303,0.41900915,42764443,4.62238015,3.3208,-80.44103096,0,Transportation
4134,"Edesa Biotech, Inc.",4.88,80.74074074,3313390,62.06558734,14705289,,-0.5095,61.09796137,0,Health Technology
4135,Skillful Craftsman Education Technology Limited,0.901,-5.15789474,28037,0.60366024,13919956,,-1.4032,-460.9981991,0,Commercial Services
4136,Spectral Medical Inc.,0.24046,0.19166667,113500,2.88955534,66986447.56,,,,0,Health Technology
4137,"New Oriental Education & Technology Group, Inc. Sponsored",62.65,-2.76268819,1185528,0.96011452,11139149790,59.60422415,1.0511,,0,Consumer Services
4138,Educational Development Corporation,1.03,-2.83018868,11846,1.29574938,8832340,,-0.433,-171.8791501,0,Consumer Services
4139,ENDEAVOUR GROUP LTD.,3.29,-3.66032211,900,0.99480491,5891995131,16.72288402,0.1967364,5.45387718,4.09006,Retail Trade
4140,ENDEAVOUR Mining PLC.,19.46,-1.46835443,2157,0.06847663,4790436013,,-0.56866672,-205.7733046,4.10284,Non-Energy Minerals
4141,ENDEXX Corp.,0.0312,-10.85714286,246982,0.61606316,15798367,2.26086957,0.0138,,0,Technology Services
4142,"Excelerate Energy, Inc.",14.97,-2.66579974,238670,1.28189841,1620885111,13.95804196,1.0725,,0.668003,Utilities
4143,"The European Equity Fund, Inc.",8,-0.49751244,5978,1.73637737,55731600,4.40068211,1.8179,-40.4825825,2.21875,Miscellaneous
4144,88 Energy Ltd.,0.00415,-3.48837209,12066666,2.70967642,91792426.55,,-0.0005328,55.6444,0,Energy Minerals
4145,"Euronet Worldwide, Inc.",74.42,-1.92409067,584653,1.10998949,3695644862,11.6067251,6.4118,152.7813917,0,Technology Services
4146,"Eline Entertainment Group, Inc.",0.0004,0,7589701,1.24032634,3405812,,0,,0,Consumer Services
4147,EpicQuest Education Group International Limited,1.11,3.73831776,30544,0.78915277,12697519,,-0.5574,,0,Commercial Services
4148,ENRG ELEMENTS LTD.,0.005,0,380000,15.30437584,5049825,,-0.0037962,-166.1336,0,Non-Energy Minerals
4149,E3 LITHIUM LTD.,2.076,-4.4198895,130995,1.83489773,141149654.4,,-0.098072,-36.69366252,0,Process Industries
4150,RS GROUP PLC,9.15,-2.03426124,18595,6.43336562,4330527099,12.32411866,0.7424466,95.4673387,2.82662,Distribution Services
4151,ENERGEAN OIL AND GAS PLC,10.7,0,200,0.08952551,1915930872,,-0.21425784,25.2907888,11.5099,Energy Minerals
4152,Energy & Environmental Services Inc.,0.1335,-4.64285714,450,0.03463004,6842275,14.05263158,0.0095,-64.1509434,0,Energy Minerals
4153,"EESTech, Inc.",0.06,9.09090909,10000,0.1888296,16509411,,-0.0046,-9.52380952,0,Industrial Services
4154,"Enzyme Environmental Solutions, Inc.",1.00E-06,0,129803,1.5070591,3646,,,,,Process Industries
4155,"Emerald Holding, Inc.",5.81,4.30879713,86681,0.81410332,365314562,42.97337278,0.1352,,0,Commercial Services
4156,Essential Energy Services Ltd.,0.2849,-0.48899756,387500,19.70475914,35755259.74,87.82584034,0.00324392,,0,Energy Minerals
4157,"Eagle Financial Bancorp, Inc.",17.04,-3.72881356,850,0.80852278,27086067.42,,,,1.81818,Finance
4158,Ellington Financial Inc.,12.7,-0.93603744,597485,0.72622369,863817222,28.9755875,0.4383,,14.1732,Finance
4159,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,21.6,-2.87769784,10335,1.6678232,863817222,49.28131417,0.4383,,14.1732,Finance
4160,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,18.99,-0.99319621,4223,0.70484361,863817222,43.32648871,0.4383,,14.1732,Finance
4161,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock,22.52,-1.27613311,4260,0.82898731,863817222,51.38033311,0.4383,,14.1732,Finance
4162,EFG International AG,10.95,-4.15754923,735,0.67810684,3419447226,13.56248609,0.8073741,24.54877325,4.20561,Finance
4163,Eiffage SA,91.05,-6.13402062,100,0.24679171,8820192553,8.59304723,10.59577558,37.0009721,4.10865,Industrial Services
4164,Eiffage Sa,18.14,-1.57352143,1035,2.21532534,8938290834,8.96510823,2.0234,30.32332861,3.29192,Industrial Services
4165,EF Hutton Acquisition Corporation I,10.65,0.18814675,2236,0.17158819,94524422,524.6305419,0.0203,,0,Finance
4166,Eastern Michigan Financial Corp.,24.5,1.03092784,550,1.23957629,29130500,,,,5.8,Finance
4167,EGPI FIRECREEK INC,1.00E-06,-99,2000,0.00694676,19043,,,,,Energy Minerals
4168,"Energy Focus, Inc.",1.8908,1.11229947,3288,0.53866317,6608407,,-4.7139,55.24296918,0,Producer Manufacturing
4169,EFOTOXPRESS INC,2.70E-05,-73,750,0.13457743,,,,,,Technology Services
4170,Eaton Vance Senior Floating-Rate Fund,12.27,-0.16273393,103703,1.07858126,,,,,,Miscellaneous
4171,Pasofino Gold Ltd.,0.3,3.02197802,500,0.05336008,15572713.86,,-0.08382374,68.30626353,0,Non-Energy Minerals
4172,Nexus Industrial REIT,5.22,0.38461538,1500,0.54231896,339524285.3,5.70249394,0.91538896,-29.41498519,9.38358,Finance
4173,Enterprise Financial Services Corporation,37.53,-1.02848101,81177,0.65851884,1403026156,6.64859694,5.6448,37.14285714,2.63789,Finance
4174,Enterprise Financial Services Corporation - Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred,15.45,0.91377587,229,0.07503768,1403026156,2.73703231,5.6448,37.14285714,2.63789,Finance
4175,"Enterprise Financial Services Group, Inc.",15.02,0,100,0.1356668,17484013.8,,,,1.8918,Finance
4176,1847 Holdings LLC,0.905,-2.80313608,62081,0.55941529,1472891,,-169.1293,3.12883752,1467.54,Commercial Services
4177,"Eagle Financial Services, Inc.",31.9,0,572,0.42461584,112467406.6,9.37160316,3.4039,-4.86052882,3.8247,Finance
