Company Name,ABN,Telephone,Facsimile,Address,Email,Website,Description
Chobani Yogurt,53096731467, 03 9706 4707,, 453 Hammond RoadDandenong South VIC 3175,,http://www.chobani.com.au/,"Chobani was founded on the belief that people have great taste. They just need great options. That's why we started Chobani back in 2005 - to make high-quality, great tasting yogurt available to the masses. In just five short years, yogurt lovers made Chobani Greek Yogurt the #1 selling yogurt brand in America! So it was only right that we spread our wings to Australia - home to a nation of people who are passionate about food and some of the best milk in the world. How we got started While tidying up his desk back in 2005, our Founder and CEO, Hamdi Ulukaya, stumbled upon a classified ad for a yogurt plant recently closed down by Kraft. After initially throwing the ad away, Hamdi listened to his gut, fished it out of the trash and went to see it that day. He decided to buy the plant on the spot, and went to work on perfecting the recipe for Chobani based on his belief that everyone, regardless of income or location, deserved access to delicious, high-quality yogurt. The first cup of CHO finally hit shelves 18 months later and has since grown to become America's #1 yogurt. What makes our yogurt special Our expert team crafts each pot of creamy Chobani so it's not only the highest quality but also tastes great! So how do we make Chobani so delicious? The secret isn't an ingredient. It's a passion and love for what we do. First, we take wholesome Australian milk and add live and active cultures. Then we strain our yogurt using an authentic process - this is the heart and soul of our craft. In fact, it takes 3 cups of milk to make 1 cup of Chobani which is why it's so deliciously thick, creamy and packed with protein. The finishing touch for our Fruit on the Bottom varieties is real fruit layered on the bottom of the pot, to make Chobani a good for you indulgence:  No preservatives. No artificial colours or flavours.  Fat-free and low-fat varieties  Two times more protein per serving than regular yogurt.  Includes 5 live & active cultures, including 3 probiotics.  Source of calcium.  Safe for those with corn, nut, and soy allergies.  Gluten-free and Kosher-Certified.  Suitable for vegetarians."
Chocolate Works,18090676501, 03 9551 4596,, 20 Garden BoulevardDingley Village VIC 3172,info@chocolateworks.com.au,https://www.chocolateworks.com.au,"Chocolate Works is Australia's premier manufacturer of customised chocolate products for promotional, corporate, hospitality and special occasions along with a range of retail products."
City of Casey,, 03 9705 5796,, PO BOX 1000Narre Warren VIC 3805,tekanayake@casey.vic.gov.au,https://www.casey.vic.gov.au/,"The Casey region represents a new frontier of growth and is the place for your business to grow in Melbourne's South East. Notably, the region has numerous competitive advantages which provide a compelling case for any business owner to consider growing their business in the region. The key advantages are it's excellent location, workforce, business and of course lifestyle, which is created by an abundance of family-friendly facilities and award winning planning. The area itself is characterised by it's strong population growth;  This growth has cultivated a healthy, vibrant economy enjoyed by thousands of our resident businesses. Broad growth across a range of sectors on the back of strong population growth typifies the Casey region's economic track record over the last 5 years."
City of Greater Dandenong,41 205 538 060, 03 8571 1000,, PO Box 200Dandenong VIC 3175,,http://www.greaterdandenong.com/,"The City of Greater Dandenong has a rich and diverse history. This is reflected in historical sites that show the changing face of our City, and in the valuable contributions made by indigenous Australians and people from all over the world who came to make their home here. Our Shared History For tens of thousands of years the area in which Greater Dandenong is now located was the territory of the Wurundjeri and Boonerwrung (or Bunurong) tribes. Cultural heritage sites representing these early periods include the remains of important meeting and ceremonial sites for Aboriginal tribes, many of which still have deep significance and meaning for our contemporary Aboriginal residents. Our Committment The City of Greater of Dandenong protects, manages, promotes and celebrates its history and heritage in many ways. By recording and celebrating the history, culture and the achievements of the people of Greater Dandenong, we are teaching understanding and appreciation of our heritage. Effective management today will ensure that things of value, beauty and importance to the community are preserved for future generations to enjoy."
Cobot Pty Ltd,87 648 990 452, 0405 200 224,, 2/19 Stephen RdDandenong South VIC 3175,andrew@cobot.net.au,https://www.cobot.net.au/,"At COBOT we design and build high quality, reliable automation systems at affordable prices, to help more Australian companies be increasingly efficient and benefit from new technology. We are committed to small to medium sized manufacturers, as we know that automation creates jobs, rather than destroy them. Our company focus is on bringing affordable automation and robotics to more companies. "
Colin Guest & Co,95835970698, 03 9785 2799, 03 9786 1817, 11 Pascal RoadSeaford VIC 3198,,http://www.colinguest.com.au/,Colin Guest & Co manufacture items for the auto industry.
Conquer Finance,71575271367, 0457 540 156,, Unit 8 / 5 Enterprise DriveRowville VIC 3178,sean@conquerfinance.com.au,https://www.conquerfinance.com.au/,"Conquer Finance is a Melbourne-based finance broker providing premium financial services and advice to both the residential and commercial markets. We cut through the complexities of getting finance to make the process of growing your business, buying a home, renovating your house, or purchasing an investment property much, much simpler. We have access to the most competitive products and solutions across a vast array of lenders, not just the big four, which means our clients are the winners. Our significant experience in business and commercial finance means we provide the right advice to help make things easier; concentrate on your business, not trying to navigate the maze of lenders and lending options. Finance can be complicated, and our ability to speak ""bank"" together with our straightforward, simple approach helps lenders understand your requirements more clearly to make the process easier. From unsecured cashflow options, to Asset Finance or purchasing commercial property - we are here to help! We also have the expertise to support you through your personal finance journey, simplifying the process along the way. Whether you are buying a home, investing, building or need an unsecured loan - we have you covered. At Conquer Finance, we take time to listen and understand your position, and help determine the most appropriate solution for your specific needs. For a free, no obligation discussion about your finance requirements, please contact Sean Breen on 0457 540 156 or via email : sean@conquerfinance.com.au"
Core Electric Motor Services,42 414 429 051, 03 9706 5660, 03 3775 1026, 1/41 Swift WayDandenong South VIC 3175,,http://www.corelectric.com.au/,"At our Dandenong South Factory , Core Electric Motor Services specialises in the rewind, repair and refurbishment of all types of electric motors, AC and DC, from the smallest fractional horse power motor to generators and motors up to and exceeding 500kW. If you need new Drives or Gearboxes and require repair or rebuild, we can help. Core Electric Motor Services maintains part inventory repair equipment to efficiently diagnose, test and repair most pumps in use today. Our rebuild services span from basic preventive maintenance to complete rebuild redesign of pump systems. We have a network of skilled toolmakers on hand if any specialist help is required. On Site Services: Early recognition and diagnosis of problems relating to operating machinery is cost effective. Core Electric Motor Services provides measuring instruments for the key areas of machine diagnosis, balancing and alignment.Our qualified and fully insured riggers and electricians are experienced with Intricate removals, can conduct any disconnect, reconnect, removal and installation."
Corex Plastics Australia Pty Ltd,39 006 418 300, 03 9238 1300,, 261 Frankston Dandenong RoadDandenong VIC 3175,hello@corex.com.au,http://www.corex.com.au/,"Re-turnable, Re-usable, Recyclable, Packaging Corex Plastics Australia is the leading manufacturer of twin wall profile Fluteboard and Corflute sheet and Solid sheet extrusions. We offer a complete solution to packaging in both standard and customised designs. Established in 1985, Corex is Australia's largest manufacturer of Hollow Profile and solid Polypropylene and HDPE sheet products and the number one manufacturer of twin wall profile Fluteboardﾮ sheet. Corex Plastics Australia offer a complete solution to packaging in standard and customised designs. Tough and durable, clean and smart, lightweight and cost effective... Corex packaging can be produced in an infinite variety of configurations to keep your products safe from damage during delivery and storage, whilst looking good on display. Corex Plastics Australia offer solid plastic sheet in a range of Polymers. Materials processed into sheet include: Olefins, Acrylics, Styrenics, Polycarbonate & Alloys. These materials in sheet form lend themselves to Engineering, Vacuum Forming, Signage & Displays, Fabrication & Packaging. Limitless Ideas... Corex is the revolutionary material that's changing visions into reality"
CTP Engineering,, (03) 9791 7786,, 163 Logis BoulevardDandenong South VIC 3175,admin.vic@cptengineering.com.au,https://www.cptengineering.com.au/,"CPT Engineering has grown from a one-man manufacturing business into a Specialist Steel Fabrication Operation in Melbourne and Australia-wide, earning international recognition.
CPT Engineering is a quality endorsed ISO 9001:2015, and  AS/NZS 4801:2001 OH&S Management System accredited technical facility."
D+M Auto Industrial Spray Painting,15 073 882 827, 03 9587 3497, 03 9587 2900, 29 Industrial DriveBraeside VIC 3195,dm@dmauto.com.au,http://dmauto.com.au/,"D&M Auto Industrial Spray Painting Melbourne have the capacity to paint many different substrates in high and low volumes. D&M Auto Industrial Spray Painting commenced operations in 1990 in Melbourne. Over the past 25 years the organization has built a reputation as a reliable & innovative quality 2 Pac paint finisher. D&M Auto Industrial Spray Painting Melbourne have the capacity to paint many different substrates in high and low volumes. Our paint environment is contamination free and all facilities meet statutory obligations. The company believes it is at the cutting edge in the markets it services, certainly the most advanced in Melbourne and Victoria. D&M Auto Industrial Spray Painting Melbourne is certified to ISO 9001. Our clients include builders, signage companies, factories, based predominantly in Melbourne. D&M Auto Industrial Spray Painting can paint any surface, including metal, plastic, composite panels and glass. Some examples of products we have spray painted are car parts, light switches & fittings, forklift and industrial machinery parts, road and train signs."
Dandy Gas and Welding Supplies,, 03 9794 6287,, 5 Johnston CourtDandenong South VIC 3175,brendon.jarrett@dandygas.com.au,https://www.dandygas.com.au/,"We are a majority owned subsidiary of Air Liquide, one of the largest industrial gas companies in the world."
Dayview Window Company (AUST) Pty Ltd,33 078 726 271, 03 9794 7324, 03 9708 5246, 8 Nicole WayDandenong South VIC 3175,craig@dayviewwindows.com.au,http://www.dayviewwindows.com.au/,"Dayview is the leading specialist in the manufacture and installation of premium sashless windows. The Dayview Window Company has a long history spanning over 6 decades and has witnessed significant changes in window design and technology. Dayview have not just followed trends, they have, since infancy been trendsetters, determining the future of sashless window manufacture and design across the country. With a focus on innovative solutions, Dayview specialize in counterbalanced glass windows, offering single and double glazed sashless windows."
Demtech Australia,, 1300 300 090,, 16 Logis BlvdDandenong South VIC 3175,info@demtech.com.au,https://demtech.com.au/,"Demtech was established in 2008 as a solution based manufacturer for the building and construction industry, with the goal of developing and manufacturing products that combine the best possible design qualities with excellent performance. We have now been providing high quality and innovative building and construction products for over 14 years, servicing the construction industry in many ways, shapes and forms."
Die-Tech Tooling Pty Ltd,47 006 467 821, 03 9768 7122, 03 9768 7133, 51 Indian DriveKeysborough VIC 3173,,http://www.dietechtooling.com.au/,"With over 30 years experience in the design and manufacture of tools for the Plastics and Die Casting Industries, Die Tech Tooling Pty Ltd are able to deal with leading manufacturers in the Automotive, Engineering, Pharmaceutical, Defense, Home-ware, food, Hospitality, Domestic, Agriculture and we supply quality custom tooling across many industries. Die-Tech Tooling has produced tooling for some of Australia s leading industries. We are industry leaders in custom tooling, managing project from concept to construction. Focus on world s best practices tool manufacture combining computer design technology with leading edge machinery. Providing Solution to industry."
Dimac Tooling Pty Ltd,60006214415, 03 9771 6121, 03 9561 6705, 69-71 Williams RoadDandenong South VIC 3175,sales@dimac.com.au,http://www.dimac.com.au/,"Dimac Tooling is a Melbourne based provider of CNC machine tool accessories and workholding systems for the Australian & New Zealand markets. Our focus is to develop, and deliver, productivity enhancing accessories by combining our in house design and manufacture with CNC accessories sourced from quality suppliers worldwide that are tailored to customers' needs."
dormakaba Australia Pty Ltd,14 067 969 466, 1800 675 411, 8795 0280, 12-13 Dansu CtHallam VIC 3038,info.au@dormakaba.com,http://www.dorma.com.au,"dormakaba provides single components as well as customised integrated solutions covering door hardware, entrance systems, electronic access and data, master key systems, lodging systems, safe locks, interior glass systems, key systems, operable walls and service division."
Dotmar Plastic Solutions,, 03 9552 4444,, 30-32 Garden BoulevardDingley VIC 3172,dotvic@dotmar.com.au,http://www.dotmar.com.au/index.php,"Dotmar is currently one of the largest importers, distributors and machinists of thermoplastic stock shapes, polyurethane and conveyor components in Australia and New Zealand. Dotmar has built up its market-leading position by delivering a high level of customer service and applications advice, supported by a deep level of technical expertise. We offer an extensive knowledge base coupled with strong partnerships across an impressive list of world leading manufacturers."
DTB Pumps,90 805 807 147, 03 9580 3449,, 41 Industrial DriveBraeside VIC 3195,sales@dtbpumps.com,https://dtbpumps.com/,"DTB Pumps (DTB International Pumping Pty Ltd) is a proud, family run Australian business which began with humble beginnings in 1988 to grow to become one of the most experienced and well regarded manufacturers and distributors of pump systems in Australia."
Ductmakers Pty Ltd,89 074 351 232, 03 9770 3900,, 17 Lakewood BoulevardCarrum Downs VIC 3201,info@ductmakers.com,http://www.ductmakers.com/,"Manufacturers of specialised sheet metal ductwork fabrication for the air conditioning industry, Ductmakers Pty Ltd employ approximately 60 people. The Ductmakers facility is the largest sheet metal fabrication for ductwork in Victoria with a fully automated sheet metal production line."
Durolenz,, 03 9770 5551,, 15 - 17 Rosella StreetFrankston VIC 3199,sales@durolenz.com.au,https://www.durolenz.com.au/,"If you want the best looking and best quality domed stickers, domed labels, wall & floor graphics, name badges or beer/cider tap top decals made in Australia, go no further! We are able to manufacture and produce minimum prototype decals right through to large scale quantities."
E J Hadaway Pty Ltd,29 100 881 054, 03 9706 6102, 03 9706 6103, 3 Nicholas DriveDandenong VIC 3175,,http://www.ejhadaway.com.au/,"E.J. Hadaway is recognized as an industry leader in the manufacturing of hot forged, machined and fabricated metal products. We specialize in producing high quality, client specific forged, machined and fabricated metal products to the Mining, Crushing, Construction and various other industries. E.J. Hadaway is 100% Australian owned company established over 90 years. Based in Melbourne s SE suburbs we work with clients throughout Australia. Products can be manufactured from a customer s own drawing or from a sample to Australian or International standards. With our own industrial designer on site we can also provide drawings to your specifications and work with you throughout to produce the exact product required."
E-Risk360,35601279565, 0401 596 332,," Level 14, 333 Collins StreetMelbourne VIC 3000",craig@e-risk360.com.au,https://e-risk360.com.au/,"Do you understand your risks and compliance obligations?
We do, with over 20+ years of experience, we have helped companies manage risks and improve business outcomes."
Employee Relations Expertise,, 1300 086 262,," Suite 63, Level 4, 80 Market Street,South Melbourne VIC 3205",contactus@erexpertise.com.au,https://www.erexpertise.com.au/,"OUR APPROACH TO INDUSTRIAL RELATIONS & HUMAN RESOURCES
For today’s successful business, the challenge of competing priorities, changes in Industrial Relations regulation mixed with ‘doing the right thing’ understandably creates confusion, inefficiency, and expense.
We provide employers with the expertise to successfully manage these issues well beyond the short-term or the enterprise agreement bargaining cycle."
Engineered Tooling Pty Ltd,76 096 542 835, 03 9770 8110, 03 9770 8191," Factory 6, 70 Colemans RdCarrum Downs VIC 3201",engineeredtooling@bigpond.com,https://engineeredtooling.com.au/,"We sell standard & manufactured special metal cutting tools. We are agents for SANDVIK, DORMER & BAHCO for the south east of Victoria. "
Engineering Plastics On Line,67109221249,1800215215,, 1/31 Laser DriveRowville VIC 3018,craig@epol.net.au,https://www.epol.net.au/,"ePol is Australia’s best way to source engineering plastics, with a completely online and on demand platform, ePol provides customers with the simplest method to gain access to our comprehensive range of technical engineering stock shapes from anywhere in Australia."
Essity AustralAsia,, 1800 643 634,, 32 Westall RoadSpringvale VIC 3176,customerservice@asaleocare.com,,"Essity is a leading personal care and hygiene Company that manufactures, markets, distributes and sells essential everyday consumer products across the Feminine, Incontinence and Baby Care, Consumer Tissue and Professional Hygiene product categories. We have a proud heritage of more than 60 years and every day, our products are used in households and businesses across Australia, New Zealand and the Pacific Islands."
Exova Warringtonfire,81050241524, 9767-1000, 9767-1001, 2 409-411 Hammond RoadDandenong South VIC 3175,,http://www.exova.com/,"Exova Warringtonfire Australia specialise in most aspects of fire safety and fire protection and we pride ourselves on providing independent, ethical, robust and innovative solutions to assist our clients manage their risks. Being located in Dandenong we can provide a very responsive service to large and small businesses located in the South East Melbourne region. The services we provide can be broadly categorised into four areas Product Testing & Assessments, Fire Safety Engineering, Fire Protection Design, and Research. An overview of the typical services offered by each of our core disciplines is as follows: Fire Safety Engineering - Fire Risk Assessments - Analysis of Alternative Solutions to demonstrate code compliance - Fire Safety Audits - Dangerous Goods Assessment - Building Code Advice - Regulatory Compliance Advice. Fire Protection Design - Design and documentation of fire protection systems. - Building & System audits - Fire system maintenance specification. - Tender & contract administration. - Pre-purchase & system condition reports. - Advice on a wide range of system issues. - Budget & pre-tender estimates. Product Testing & Assessment - Fire testing of products to relevant Australian & international standards. - Transport testing. - Project and application specific testing. - Assessment of variations to tested products or against alternate test standards. - Co-ordination of external non-fire tests (eg mechanical or acoustic testing). Research - Technical research of specific fire related problems. - Market research for new products. - Literature reviews of specific fire related issues. - Standard and ad-hoc testing of new systems & materials. We can combine one or more of the above and other services, to provide a comprehensive solution to meet your needs. If you have any particular issues that you may need assistance please contact us for an obligation free discussion of how we can assist you address your fire safety and fire protection needs."
Extel Technologies Pty Ltd,71 052 989 107, 8542 9200, 8542 9299, 399 Ferntree Gully RoadMount Waverley VIC 3149,,http://exteltechnologies.com/,"Extel was established in 1991 and has been manufacturing electronics based products for over 20 years. Extel opened an innovative Design Centre working on market leading products and innovation for technology companies. Extel also enhanced their Service & Repair department, dealing with complex solutions and third party repairs. Quality accredited to ISO9000 and ISO13485 and working to International Standards, Extel is an electronics design, manufacturing, service and repair company that supplies specialist services to diverse industry sectors, including transportation, telecommunications, healthcare, emergency services and defence throughout Australia and other countries. Their commitment to innovation, technology, quality and productivity service, is reflected by their vast customer base of multinational corporations and their exponential growth across the industry."
Extran Pty Ltd,, 03 9761 7766,, 10 Gabrielle CourtBayswater North VIC 3153,info@extran.com.au,https://extran.com.au/,"The local expert you can rely on. Extran is committed to providing our clients with the most effective heat transfer design solutions and to remain a quality, competitive provider in terms of supply, manufacture, maintenance, cleaning, site service and spare parts supply."
Ezy Pole,, 1300 EZYPOLE,," 2 Lanyon StDandenong South, VIC 3175",info@ezypole.com,https://www.ezypole.com/,"Using locally sourced materials, EZYpole manufactures all poles at its fabrication facility in Dandenong South, Victoria.
EZYpole’s innovative range of tilt poles has revolutionised the pole industry by reducing installation and on-going maintenance costs. We are now one of the leading pole suppliers to the private and public sectors around the world."
FAL IP Lawyers,85275937113,396422252,, 114 William StreetMelbourne VIC 3000,IP@fal-lawyers.com.au,www.fal-lawyers.com.au,"FAL are boutique specialists in corporate and commercial law, with particular expertise in collaboration, research & innovation, intellectual property (IP) and information technology (IT). Prior to establishing FAL in 1993, our founding partners, Peter Francis and Jenni Lightowlers, were the in-house legal team responsible for Sirotech Ltd, CSIRO's former commercial arm. As such, the firm was borne from acting for the Commonwealth, with CSIRO becoming the first major client of the firm. IP is of critical and growing interest to all public and private entities. FAL acts for a significant client base in this field, including start-up companies, a substantial proportion of Australia's research bodies (CRCs, Universities), The State of Victoria and ASX-listed entities. Whilst the spectrum and scale of IP related advice varies across FAL's client base, it is of crucial importance to ensure that our clients obtain and protect IP to meet their needs and do not infringe the IP of others. Providing the right advice not only requires an in-depth understanding of IP law, but also of what IP our clients have and how this may (or may not) fit with their objectives."
Fantech Pty Ltd,110 054 340 24, 03 8545 2343, 038545 2398, 42-62 Pound Road WestDandenong South VIC 3175,,http://www.fantech.com.au/,"Fantech has been at the forefront of fan and sound control technology since its launch in the early 1970s. We continue to develop new and innovative products for virtually every air movement and ventilation need and offer solutions that maintain the highest quality, while maximizing energy efficiency. To help us deliver the high standard our customers expect, we operate a quality management system that complies to ISO9001. The high performance range includes wall, window and ceiling fans, axial, centrifugal and mixed flow duct mounted fans, roof-mounted axial and centrifugal fans, fans for hazardous environments, portable fans and attenuators. First released in 1998, the Fantech Product Selection CD has become essential software for consultants and contractors who want fast and accurate fan or duct attenuator selection. It can also provide performance curves, scaled drawings, acoustic analysis and even links to the Fantech website. The Fantech website, www.Fantech.com.au is an up to date Fantech catalogue, on-line. It includes specifications, technical data and dimensions on all our products, our doﾒs and donﾒts installation tips, a simple acoustic analysis program and you are able to create and print out maintenance manuals. Fantech has manufacturing facilities in Melbourne, Sydney and Brisbane and a comprehensive national distribution network."
FB Rice Consulting,, +61 3 8618 4100, +61 3 8618 4199," Level 33, 477 Collins StreetMelbourne VIC 3000",contact@fbrice.com.au,https://www.fbrice.com.au/,"Responsive, thoughtful and reliable, we make IP easy for you. We recruit the best technical experts and empower them through training and mentoring to deliver a superior service."
Federation University Australia,, 1800 333 864,, 100 Clyde RoadBerwick VIC 3806,,https://federation.edu.au/,"Our university rankings
We are delivering job-ready graduates, rated by employers as above national average for employability, foundation and adaptive skills (QILT, 2019)
Released in August 2020, the Good University Guide ratings reflect our strength in providing the highest quality teaching and support throughout a student’s education.
In addition, we achieved the highest five- star rating in learner engagement, learning resources and overall undergraduate experience, placing Federation in the top 20% of Australian universities in these categories.
These results build on the Excellence in Research Australia (ERA) ratings released in March, which saw the quality of research at Federation University rated as well above world standard for the first time in seven research areas."
Fletcher Insulation Pty Ltd,, 1300 654 444,, 127 Dandenong Valley HighwayDandenong South VIC 3175,info@insulation.com.au,https://insulation.com.au/,"Fletcher Insulation stands as a leading insulation manufacturer and distributor supplying renowned brands Australians love and trust. With a national sales and distribution footprint comprising of two manufacturing plants and over fourteen branches nationally, we pride ourselves on providing first-class products and technical support to deliver extraordinary value to our customers."
Flowline Industries Pty Ltd,, 03 9775 1839,, 9-11 Saraha GroveCarrum Downs VIC 3201,sales@circuit.net.au,http://www.circuit.net.au/,Flowline Industries is an Australian company founded in 1972 based in Melbourne Victoria.
Fortress Gates,,397897635,, 6 Duiker CtLangwarrin VIC 3910,ash@fortressgates.com.au,,"Fortress Gates manufacture a range of galvanised steel gate frames and fence panels. If you’re a tradesman, a handyman or simply looking for a weekend project this is the DIY gate for you. Make gates up to 2100mm high x 2100mm wide. Use any style of cladding you wish, the strength of a steel gate with a stylish timber finish. Side gates, double gates, metal gates, picket gates, garden gates, driveway gates, fence panels - it’s all easy when you construct a gate using the Fortress Framing system."
Fortress Resistors,27005632173, 03 9587 4099, 03 9587 4130, 324 Governor RoadBraeside VIC 3195,info@fortressresistors.com,http://www.fortressresistors.com,"Fortress Resistors is an Australian manufacturer of power resistors located in Melbourne Victoria. We supply Neutral Earthing Resistors, Filter Resistors, Dynamic Braking Resistors, and Motor Control Resistors to the mining, petrochemical, electrical utility and general industry market segments."
Frankston City Council,, 1300 322 322,, 30 Davey StreetFrankston VIC 3199,business@frankston.vic.gov.au,https://www.frankston.vic.gov.au/Home,"Our Organisation
Frankston City Council employs people to provide services to the local community. The Councillors employ the CEO who manages the organisation in conjunction with an Executive Management Team."
Fusion Works,, 0412 729 205,, 43-45 Elizabeth StreetKensington VIC 3031,info@fusionworks.com.au,https://www.fusionworks.com.au/,"Fusion Works is a Melbourne based company with core services in metal fabrication.
We specialise in process pipe works: custom made skid-mounted control and process systems that we design, engineer, fabricate, and install. We have worked in the food industry for over ten years: from brewing to confectionery, abalone processing and water treatment. Our clients include Kansom, Melbourne Chef, Cadbury, Nalco, Thunder Road, and Murray Goulburn.
When teamed with our partners, we offer a complete project package from process design and engineering to fabrication phases, through to manufacture and installation. Our exclusive in-house fabrication process allows us to create exactly the system you require, without compromise. We also undertake the installation, commissioning and maintenance of each project.
Outside of the food, beverage, and water industries, we also work with industry specialists in areas of design, architecture, art and more to create custom metal works for domestic and commercial use."
Future Metals Recycling,83129407790, 03 9768 0600, 03 9768 0699, 194-204 Ordish RoadDandenong South VIC 3175,,http://www.futuremetals.com.au/,"Future Metals Recycling manages premium Metals Recycling Facilities in Melbourne and Shepparton. Our mission is to work with you to efficiently and effectively handle your scrap metal needs by providing quality service and modern facilities. Our strong management skills. client-needs focus and our vision for the future is helping Future Metals Recycling lead the way towards a revolution in scrap metal. We have State-of-the-art processing equipment and provide certificates of destruction for proprietary products and have certified weighbridge on all sites to ensure accurate weights. Our commitment to recycling means that all materials received at our site are processed and sold to be manufactured into new products. Clients can deliver any quantity or type of scrap metal to the Future Metals Recycling Centres located at: 194-204 Ordish Road Dandenong South 3175 57 Star Crescent Hallam 3803 or 135 Old Dookie Road Shepparton 3630 We provide a complete metals collection service, tailored to suit the needs of your business. Our trained staff can assess client requirements and recommend a solution that takes into account the volume, type and location of materials on your site. We can also provide a contracted service which includes an on-site bin and regular collections."
GBC Scientific Equipment Pty Ltd,, 03 9588 6666, 03 9588 6677, 2-4 Lakewood BlvdBraeside VIC 3195,gbc@gbcsci.com,http://www.gbcsci.com/,"GBC designs, manufactures and markets a range of scientific instruments endorsed by the international quality standard, ISO 9001."
Glyde Metal Industries Pty Ltd,48060109622, +61 3 9791 3402, +61 3 9793 1945, 65 Zenith RoadDandenong South VIC 3175,info@glydemetal.com.au,https://www.glydemetal.com.au/,"Glyde Metal Industries (GMI) was founded in 1965 in Dandenong, Melbourne and has been under the stewardship of the current owners since 1993. GMI has 35 engineers, tradespeople & staff and under one 3,200m2 roof provides turn-key solutions including: Engineering services, Fibre Laser Steel Cutting, CNC Oxy Profile Cutting, Steel Press Forming, Metal Fabrication and Robotic Welding. GMI's capabilities enable fabrication of 0.5mm to 150 mm mild and high tensile steel plate."
green Thermal Energy Technologies,ABN: 60 161 755 479, Visit Website →,"
green Thermal Energy Technologies

gTET is a privately owned Melbourne-based company that specialises in developing and implementing thermal management industrial solutions that have been optimised for performance and economics. Thermodynamic specialists with experience and capabilities across a wide range of industries and technologies including locally designed and manufactured Organic Rankine Cycle heat engines (for converting waste or renewable heat into electrical power), refrigeration, waste heat recovery for power generation, cogen/trigen, heat dump and heat re-injection with product and services across a wide range of clients.
View Member →
", 2/12 Mosrael PlaceRowville VIC 3178,,http://www.g-tet.com/,"gTET is a privately owned Melbourne-based company that specialises in developing and implementing thermal management industrial solutions that have been optimised for performance and economics. Thermodynamic specialists with experience and capabilities across a wide range of industries and technologies including locally designed and manufactured Organic Rankine Cycle heat engines (for converting waste or renewable heat into electrical power), refrigeration, waste heat recovery for power generation, cogen/trigen, heat dump and heat re-injection with product and services across a wide range of clients."
Hargo Engineering,ABN: 94 005 286 215, 9761 5110, 9761 5770, 103 Merrindale DriveCroydon VIC 3136,,http://www.hargo.com.au/,"Hargo Engineering is a specialist in the manufacture of high-precision parts. We focus on small to very small metal and plastic components ranging from 0.8mm to 32.0mm in diameter in small to large batch runs. Our experience and capabilities assure you of technical excellence in the reliable manufacture of your high-precision components. Hargo Engineering also offers completed assemblies to your requirements. Hargo Engineering specialises in repetition engineering and precision engineering using CNC machining tools. Every aspect of our manufacturing business from customer liaison, through materials supply, CNC machining, finishing and quality assurance is held to very high standards to ensure your total satisfaction."
Hilton Manufacturing Pty Ltd,89 005 551 057, 8791-9400, 9768-2952, 110 Bangholme RoadDandenong South VIC 3164,sales@hiltonmfg.com.au,http://www.hiltonmfg.com.au,"Hilton Manufacturing commenced business in 1976 and now operates from a modern factory of 15,000 m2, located in Dandenong, in the South East area of Melbourne, and a 4000 m2 plant in Wacol, South West of Brisbane. Hilton is now the preferred supplier to Volvo & Mack, Kenworth, Mercedes, Iveco and Western Star of fuel tanks and associated mounting components locally, along with export orders to Tata/Daewoo in Korea, Hino, Nissan and Isuzu in Japan, Scania in Sweden and Westport in Canada. Hilton Manufacturing also supplies all of the Australian truck companies with aftermarket products and is a major supplier to truck aftermarket of its own unique fuel tank products via its distributors located around Australia. Since 2008, Hilton Manufacturing has doubled in size and now employs 230 people. Adopting a lean manufacturing culture including Lean Capability, 5S, and Just in Time delivery, ensure Hilton has the resources to maintain its global competitiveness. Preferred supplier to the following industries: *Bus *Health Care *Caravan *Truck *Defence *Traffic Management"
HM Gem Engines Pty Ltd,, 9797 1122, 9794 0222, 5 Monterey RoadDandenong VIC 3175,,http://www.hmgem.com.au/,"For over 40 year HM/GEM engines has specialised in supplying fully remanufactured engines and cylinder heads to the Australian automotive repair industry. With state of the art remanufacturing plants in Melbourne and Sydney and unrivalled distribution throughout Australasia, HM/GEM have grown to be the largest engine supplier in the region. From the beginning, HM/GEM has always been the leader in adopting new remanufacturing techniques and the very latest in engine machining and testing technology. Precision machining and assembly is complimented by the use of premium quality engine components manufactured in Australia. HM/GEM are very proud of its product. The technology, expertise and experience that goes into a HM/GEM, together with all the new parts, guarantees that you will receive the best completely remanufactured engine available. HM/GEM not only produces remanufactured engines, it also has a heavy duty jobbing division where all your machining requirements can be satisfied."
Holroyd Utowpia,, 03 9457 3060,, 24 Barry StreetBAYSWATER VIC 3153,sales@utowpia.com.au,https://www.utowpia.com.au/,"At Holroyd Utowpia, we are determined to be the best in our industry and to ensure Australians can continue to rely upon locally-made axles and trailer products engineered to the highest standards.
Holroyd Utowpia offer a full range of reliable, quality-made axles and trailer parts, made in Australia."
IM Group,, 03 8792 6999,, 8-9 Becon CourtHallam VIC 3803,sales@im-group.com.au,http://im-group.com.au/,"The IM Group are market leaders in their individual brand categories, and we have earned a highly respected reputation in the automotive industry for our quality and innovation.
With over 25 years experience in the automotive industry you can expect exceptional service and a quality product. The IM group is committed to retaining their position as Market Leaders in the Automotive Mechatronic Industry. For information about our various brands please visit our website."
